"seller_id","orders_first_90d","avg_review_score_90d","avg_order_value_90d","months_active","total_orders","survived_month_12","seller_state","seller_segment","survival_status"
"0015a82c2db000af6aaaf3ae2ecb0532",3,3.67,916.02,0.7,3,0,"SP","At Risk","Churned"
"001cca7ae9ae17fb1caed9dfb1094831",31,3.56,129.54,17.4,200,1,"ES","Critical Risk","Survived"
"002100f778ceb8431b7a1020ff7ab48f",32,4.00,33.11,7.0,51,0,"SP","High Potential","Churned"
"004c9cd9d87a3c30c522c48c4fc07416",31,4.33,147.91,15.4,158,1,"SP","High Potential","Survived"
"00ab3eff1b5192e5f1a63bcecfee11c8",1,5.00,110.08,0.0,1,0,"SP","Critical Risk","Churned"
"00ee68308b45bc5e2660cd833c3f81cc",31,4.49,113.97,10.8,135,1,"SP","High Potential","Survived"
"010543a62bd80aa422851e79a3bc7540",2,4.50,723.98,1.0,2,0,"SP","At Risk","Churned"
"011b0eaba87386a2ae96a7d32bb531d1",1,4.00,64.58,0.0,1,0,"SP","Critical Risk","Churned"
"013900e863eace745d3ec7614cab5b1a",2,5.00,93.16,13.5,23,1,"PR","At Risk","Survived"
"014c0679dd340a0e338872e7ec85666a",3,4.33,292.87,17.5,14,1,"MG","At Risk","Survived"
"01bcc9d254a0143f0ce9791b960b2a47",9,4.38,162.15,5.8,11,0,"GO","Growing","Churned"
"01c97ebb5cdac52891c0ed1c37ba0012",3,4.67,46.11,15.8,9,1,"SP","At Risk","Survived"
"01cf7e3d21494c41fb86034f2e714fa1",1,5.00,89.16,16.9,61,1,"PR","Critical Risk","Survived"
"01ed254b9ff8407dfb9d99ba1e17d923",4,5.00,354.57,3.2,5,0,"SP","At Risk","Churned"
"01fdefa7697d26ad920e9e0346d4bd1b",17,4.53,104.02,16.0,129,1,"PR","High Potential","Survived"
"0241d4d5d36f10f80c644447315af0bd",30,4.31,86.45,10.8,238,1,"PR","High Potential","Survived"
"0249d282d911d23cb8b869ab49c99f53",10,4.20,49.71,6.2,11,0,"SP","Growing","Churned"
"024b564ae893ce8e9bfa02c10a401ece",1,5.00,104.20,4.3,2,0,"SP","Critical Risk","Churned"
"028872bfa080090a9d0abd4f1af168f8",1,5.00,39.29,0.0,1,0,"MG","Critical Risk","Churned"
"02a2272692e13558373c66db98f05e2e",2,3.00,46.93,1.0,2,0,"RJ","At Risk","Churned"
"02c988090b766852e088c69d7fb3b551",4,5.00,66.78,13.2,13,1,"SP","At Risk","Survived"
"02d35243ea2e497335cd0f076b45675d",2,3.00,272.77,15.3,14,1,"RN","At Risk","Survived"
"02ecc2a19303f05e59ce133fd923fff7",1,5.00,167.20,14.3,21,1,"SP","Critical Risk","Survived"
"0307f7565ff85b299b6e5ef162b1b1a9",1,2.00,27.86,7.6,7,0,"SP","Critical Risk","Churned"
"0336182e1b3e92f029d5354832045fdf",1,2.00,23.69,0.0,1,0,"SP","Critical Risk","Churned"
"0432ead42b6c8a0bdf68154add917fdf",31,4.53,105.28,16.0,85,1,"SP","High Potential","Survived"
"048c2757535328e0d7dac690ad3c0aae",9,4.89,201.14,17.8,51,1,"SP","Growing","Survived"
"04aa0a1c5ce6b222003403a3e11c3cc0",4,4.43,373.00,10.3,11,1,"SP","At Risk","Survived"
"04aba03279157f6d4e0fe8ccaf21963c",2,5.00,158.75,15.8,16,1,"RJ","At Risk","Survived"
"04e38a233f726ef161074ab1c9b0399a",15,3.50,61.89,7.8,23,0,"SP","Growing","Churned"
"04fdea0c111866e6cf812f1570d6b5bd",4,3.25,142.32,3.6,10,0,"SP","At Risk","Churned"
"0509040ea3fe50071181bbc359eb7738",9,3.90,60.14,15.2,89,1,"MG","Growing","Survived"
"054694fa03fe82cec4b7551487331d74",9,3.80,408.75,15.2,21,1,"SP","Growing","Survived"
"058cb5aeb36d7c0fcae20fc85d5e0a59",3,4.00,140.14,10.8,12,1,"RJ","At Risk","Survived"
"058fd0aa2bfdb2274e05e1ae971dabb6",7,3.57,159.22,10.3,61,1,"SP","Growing","Survived"
"05a940b4ecae36cadfd8e93bd9c43257",6,4.67,71.33,7.3,10,0,"GO","Growing","Churned"
"05d2173d43ea568aa0540eba70d2ca76",12,4.58,109.95,10.6,62,1,"MG","Growing","Survived"
"05f51e13da97139648b8125c31e5f51b",35,4.61,280.07,8.5,60,0,"MG","High Potential","Churned"
"05feb94f19d094d4b0f9281f0b1d4c99",3,4.67,1633.98,6.3,6,0,"SP","At Risk","Churned"
"05ff92fedb5be47920fea08e501238b9",1,5.00,121.01,22.4,59,1,"RS","Critical Risk","Survived"
"062ce95fa2ad4dfaedfc79260130565f",20,4.29,141.31,7.5,55,0,"RS","High Potential","Churned"
"06532f10282704ef4c69168b914b77be",5,4.20,1540.04,5.6,8,0,"PR","At Risk","Churned"
"06579cb253ecd5a3a12a9e6eb6bf8f47",22,4.36,104.75,12.4,62,1,"SP","High Potential","Survived"
"066a6914e1ebf3ea95a216c73a986b91",1,4.00,91.28,22.4,68,1,"PR","Critical Risk","Survived"
"06bb3a2fe5e7b7a845b13e8fb91bd944",8,4.89,100.78,9.9,17,0,"MG","Growing","Churned"
"06e5eefc71ec47ae763c5c6f8db7064f",5,3.67,187.83,16.1,92,1,"RS","At Risk","Survived"
"07017df32dc5f2f1d2801e579548d620",7,4.00,119.44,16.9,8,0,"PB","Growing","Churned"
"070d165398b553f3b4b851c216b8a358",2,3.50,262.52,11.9,32,1,"SP","At Risk","Survived"
"0725b8c0f3f906e58f70cbe76b7c748c",7,4.11,72.72,18.8,17,0,"SP","Growing","Churned"
"0747d5bb69f0586cc869d8af4c50f93e",2,4.50,51.69,8.7,14,0,"RJ","At Risk","Churned"
"077c5fae4bea9500e3737b16f71b9d3a",3,4.33,18.35,9.2,4,0,"SP","At Risk","Churned"
"07a9bc7f61396b658ddf3ac534efe44c",1,3.50,135.49,0.0,1,0,"SP","Critical Risk","Churned"
"07bf9669d84d1f11be443a9dd938f698",2,3.00,87.94,15.9,18,0,"SP","At Risk","Churned"
"080102cd0a76b09e0dcf55fcacc60e05",6,5.00,58.67,13.3,124,1,"MG","Growing","Survived"
"080199a181c46c657dc5aa235411be3b",24,4.70,187.46,11.3,79,1,"SP","High Potential","Survived"
"08061dc0fc165ed41288cc7acde738ee",1,3.00,32.74,7.9,4,0,"SP","Critical Risk","Churned"
"0887a9f087bcd5d9f6642b52f897fc6c",8,4.38,123.61,6.1,12,0,"SP","Growing","Churned"
"08d0949a9a17c027262db1f3c450c26c",1,4.00,64.82,12.2,12,1,"PR","Critical Risk","Survived"
"08d2d642cf72b622b14dde1d2f5eb2f5",3,5.00,129.22,9.9,17,0,"SP","At Risk","Churned"
"091065b789659bc3cd9af9cb3a6253ff",1,5.00,710.23,3.2,2,0,"RS","Critical Risk","Churned"
"0936e1837d0c79253456bbb2ffaaef10",1,5.00,35.01,0.0,1,0,"SP","Critical Risk","Churned"
"093805f8f2aeb63881444571e1f48f30",18,3.70,56.37,5.1,22,0,"SP","Critical Risk","Churned"
"09883d9ab71c8fe8a9bfc7fc3075b07e",2,3.50,84.60,7.1,5,0,"SP","At Risk","Churned"
"09f952a5f58d2285b0372551ae8f9b01",6,4.29,315.20,11.5,50,1,"SP","Growing","Survived"
